Page,Name,Score,Review
37,Bruce B,5,Such excellent service in flight. British and American airlines could learn a lot from these people.
38,JawaharJoshi,3,"We took a domestic flight from Hanoi to Da Nang.  They did not serve food complimentary, but at least they served water."
38,wombatdavid,4,We travelled in premium economy on the 787 and much preferred the seat to the Airbus 350. Much more comfortable and spacious. The trip started badly at check in as we were told our entertainment was broken but we could be moved (but seated apart). No thanks in the end they clarified that it was just the remotes not working. But come on do some maintenance! The whole plane was showing its age.<br><br>The in flight service was great and 2 hot meals served. <br><br>Flight was 1 hour late and baggage was slow especially as our priority tagged bags did not come out first.<br><br>So not quite 5 stars but very good.
38,Stickermansister,5,"A comfortable journey with good seats and excellent service from the very professional staff    The food choices were good and we were looked after fir the whole time   The entertainment system works well and the choice is wide   We were kept informed of any slight variation to the times of the journey by email which was appreciated     We travelled to, from and across Vietnam with Vietnam airlines and an excellent service on all journeys with no delays apart from bringing forward our return trip to London by 20 minutes"
38,Sapir T,5,"As someone that doesn't like to take planes, this flight with Vietnam Airlines really surprised me in a good way! From the moment we arrived on the plane it felt safe, clean and professional. Great meal, great entertainment system with nice movies. Will definitely want to fly with them again."
38,Soko37,5,"Rushing back to Ho Chi Minh City in late evening, great it was possible to get earlier flight no matter I already checked in for later one, airline was solving that without any fees. Got exit seat and happy to have room for legs, food was not tasty but stomach was happy. Service nice. Boarding was late but well organised. We were landing in good time"
39,wombatdavid,4,This was our first flight with Vietnam Airlines and overall we are impressed. We flew on the A350 in premium economy and enjoyed the extra legroom in the first row with a 2-4-2 configuration. The service was fast and friendly and the food was amazing. Two hot meal services all served with a wide range of drinks. <br><br>They almost earned 5 stars from me but for the relatively limited movie selection and the tatty seat armrests in a few places. Buy a few more movies and do some cosmetic repairs for an extra star!<br><br>We look forward to our next flight.
39,Vinisha P,5,Everything was perfect. Fast smooth and efficient :) baggage came out faster than me! Thank you so much.
39,Chia,1,My flight was late and was rushing to transit. The Courtesy service lady was extremely rude when I could not print my K-ETA details. Instead of helping she see fit to give a reprimand and a black face and walk away after that. The rest of the staff just set around and do not show a bit of interest in helping. First time to Vietnam and the service leaves a lot to be desired.
39,George K,5,"Very pleasantly surprised by the excellent quality of service on all flight sectors, BKK-SGN-PUS and return. New A350 and B787-9 used with ample leg room in economy class. All departures and arrivals were on time. Cabin crew were very proffesional and helpful serving meals and drinks with a smile. Meals were adequate and tasty. A wide selection of in-flight entertainment was offered. I will certainly fly with Vietnam airlines again."
39,RobynL,4,"Premium economy flight was great. Good food ( for an airline) and lovely service. It certainly made for a more comfortable 9 hours being in Premium Economy. Will definitely fly again. Flew home Business and was pleasantly surprised. Comfy, flat beds, good amenities and attentive staff."
40,KM,1,"After a delay to boarding - and no water available to purchase, we then sat on the tarmac for close to an hour due to bad weather. The first 10 minutes were quite turbulent,  but that is not the fault of the airline!<br><br>However, the service on board was very disappointing.  Despite requesting water and being told several times that the drink cart was on its way,  it was 2.5 hours after take off that we were finally served a drink - a small cup of water. Thankfully the steward served me another one! The meal was finally served by they only had the fish option left. It was dry and cold, and the pasta it was served with was like rubber when I tapped it with the fork.<br>I was very hungry by the time breakfast was served,  but again, the scrambled eggs were like cold rubber. <br>The coffee was possibly the worst I have ever tasted on a plane. Luke warm and worse than instant coffee.<br>There were limited options for tv and movies in English, which made the flight seem even longer!<br>We had fabulous experiences with our flight from Sydney to Vietnam and our 2 internal flights.  However,  this flight was very disappointing ."
40,Alejandra C,1,"We booked a last minute ticket to Vietnam from Thailand and I had a problem with my visa. While we had two hours before the flight, we asked for help several times at the counter to change our flight even if fees might apply. The answer we got is that we need to send an email and they were not able to do anything at the airport. I understand there are some process to follow but bureaucracy is the first name of this airline. The lack of empathy we have experienced within the airport, customer service and website is just out of this world."
40,Felix L,5,"Non stop, 2 hour flight, fully convertible flat-bed seats in 787 Dreamliner, not very common for a short, domestic flight. Nice business lounge on Hanoi."
40,Nick D,1,"Absolutely horrible experience with this airline. Caused me so much trouble - at one stage trying to block me from getting on a connecting flight to Australia because they insisted I needed a visa (I am a New Zealander, and so do not). I had to rebook a number of flights with them, and they charged me multiple no-show fees on the original flights. I'd never fly with them again."
40,luvcafe,4,"It's a new route and direct flight from San Francisco, USA to Ho Chi Minh, Vietnam. Overall, it's great. Staffs on the flight were polite. Foods were ok (it's ready box foods so I didn't expect much). Economy seat - just like any other airlines (eg. Cathy Pacific, Eva, Air New Zealand,  etc...). Airbus 350 - configuration: 3 -3 -3. The walk way is a little tight. People have roller carryon seem to have difficulty pulling it. I had a package so couldn't tell much. <br><br>Check in: SFO check in took long. Very long line and took me 1.5 hours until I was able to check in (not allow online check in). They opened counter 3 hours before the flight scheduled. I arrived SFO 3.5 hours before the flight so I had to wait and plenty of people were in line already.<br><br>Check in: TSN (Ho Chi Minh), I went there early and they didn't open check in counter until 3 hours before the flight scheduled. <br><br>Leaving SFO or TSN both delayed; however, flights still arrived on-time. I think they already factored delay time in. <br><br>Overall: I don't mind to fly with Vietnam airline again especially this route. No connection, just straight 16 hours from SFO to TSN and about 13.5 hours from TSN to SFO. <br><br>Note: if the flight isn't full and there are empty seats, staffs were very nice. They offered elderly to move to empty seat so they can lay down. This is a Vietnamese airline, staffs speak Vietnamese and English."
41,Britt,1,"Unfortunately my enjoyable experience with the actual flights was ruined by a staff members customer service. When my partner and I flew from London to Sydney, we had a stopover in Hanoi and Ho Chi Minh City. Prior to the flight, I researched whether we needed a visa to transit through Vietnam and I found that as we didn’t plan to leave the airports, we didn’t need a visa. We, as well as 5 other Australians, were stopped at Hanoi and told we needed a visa. All of us Australians were shocked as we were all told we didn’t need one. We put our passports in to get a visa and as we were waiting, an extremely rude Vietnam airlines staff member came over and told us we needed visas repeatedly and told us to pay her right now while threatening us that we would be sent back to London.<br><br>All of the Australians were confused but cooperating but this Vietnam airlines staff member was using a belittling tone while threatening us. We repeatedly asked her how much the visa was and she kept coming back with different prices. She said that they would only accept cash and said it was $25 USD each. She said she would accept British pound but wouldn’t accept Scottish Pound which is the same thing, despite that being all we had. She kept claiming British pound and American dollar was the same despite the difference in the currency. Despite there being a Government sign present saying that a transiting visa was only $5 USD, she quietly denied that we could have that visa and again threatened that if we didn’t give her $25 USD then we would be sent back.<br><br>The whole experience was extremely upsetting and scary as my partner and I had just moved back from London, we were low in money, had no Vietnamese dong or any access to internet while being yelled at in a foreign country. All of the Australians agreed that we felt like we had been scammed and were very uneasy due to the staff members attitude.<br><br>When we then entered Ho Chi Minh City, the same Australians were stopped at the airport as well as us with no explanation as the airport security took pictures of the visa and then we were finally told there was an issue with the visa we were given. The whole experience was horrific and I will not be flying with Vietnamese Airlines nor will I visit Vietnam again!!"
41,white100,4,"Nice Dreamliner 787/900 and a good flight technically. They have old fashioned head sets which are uncomfortable after a while. surprised no noise cancelling in 2022.  On a 13 hour flight you need entertaining and the choice of entertainment was not so good. Same on the way back after 3 weeks., The food was quite basic.  The cabin crew were very nice, friendly, polite and helpful. They did struggle with English. The lay flat seats were quite hard and compared to other 787's I have flown on were not as comfortable. I have the need for a wheelchair at the airports and they were just great at both Ho Chi Minh and Heathrow. Would I use them again, without a doubt."
41,Nguyen N,1,"Vietnam Airlines is not at all a budget airlines and indeed a national airlines. However, when I checked in at Changi, the ground staff asked me to buy one piece of luggage at 128 SGD saying that my ticket does have luggage allowance. I can’t believe it. Just line when you buy insurance, you have to read all small prints in the policy. you need to do the same when you buy tickets with Vietnam Airlines. I will never fly by Vietnam Airlines any more. Cheating."
41,Nick H,1,- poor sanitation <br>- customer service even worse <br>- would not consider even if I’m on a budget <br>- good luck with choosing Vietnam airline ;)
41,Le t,1,I had another bad mood for traveling with vietnamairline again. I may need to align my schedule to go with Bambooairways next time. Hopefully more Bamboo flights frequency to HAN in the future
42,HRH-Siva,5,Impressed by the service of the airline. The A321 from SIN to SGN was well maintained and comfortable. I pre ordered the Hindu Meal and the meal was tasty and the portion was good. The airline was sweet to offer mooncake as it was during the moon cake festival.
42,Qulcia,1,"My reservation was cancelled, as a reason they said it's due to schedule change, which is a lie! The flight is still planned, they are selling tickets but the prices are significantly higher! This is outrageous! I'm a frequent flyer, but something like that has never ever happened to me. I'm super disappointed as I've been waiting for these after COVID vacations. I will never fly with Vietnam Airlines, and I will be telling my story to all my friends."
42,Chloe C,2,We booked a flight to and from Saigon to Dalat. Both ways has delayed twice! Each time is 40 mins interval. Flight attendant are nice and courteous. The reason why I book with Vietnam airline is to minimize the delayed time. Instead of booking Viet Jet or Bamboo which is much cheaper but we go with Vietnam airlines is to hopefully get on our way ON TIME but sadly we got delayed as well. Not sure if I will fly with this airlines again.
42,Claire W,1,Flight was delayed for 3 hours and I missed my connecting flight back home to Sydney. There’s nothing they can do about it. I wish I took the bus instead. They are not very reliable
42,Damian,1,"Scammed us out of our premium economy flight tickets during the pandemic. An expenditure of almost 3.000 euro. We accepted their vouchers because the country closed during the pandemic, and now it's open again they give us an invalid excuse as to why we cannot use their vouchers anymore.<br><br>Bad service. Bad customer support. Absolutely doesn't deserve the SKYTRAX rating it has."
43,Alexa Duran,1,"Round trip bkk hanoi - hanoi bkk <br><br>Worst airline, <br><br>First time from bkk to hanoi VN 610 i gave them a benefit of the doubt, flight crew was kinda rude but i didnt say anything. We were about to land to hanoi ans they still haven't gotten the food trays. <br><br>Flight back to bkk from hanoi, VN 613 boarding the lady ask me where's my mask , so i said oh ok it's needed? Because all the white people ahead of me didn't have a mask on and she didnt say anything about it. I felt discriminated at that point. Avoid this airline, no service at all. <br><br>Oh and the ""food"" .. jeez"
43,Rosemary M,1,The booking was my problem they issued the tickets with my name twice instead of 2nd passenger and after much hassle informed me I had to pay $110 to correct their error.The original flight was cancelled and they rebooked it for the next day which was impossible for us and wouldn’t refund the one flight which if you cancelled would lose the whole flight.<br>Will never use them again and they charge a lot
43,SOPHIE T,1,"I were purchasing 2 trips and got delayed both.<br>Price always more expensive than any Carriers.<br>Bought from Vietnam airline website but operate with Pacific Airlines, we didnot get notice for this, so we had to walk 15 mins from Vietnam Airline counter to Pacific counter with 2 kids and 6 luggages. Will never fly with Vietnam Airline again"
43,sasha,1,"Extremely disappointed doesn’t cover it. My family and I were one of the first people to check in for the plane flying from Da Nang to Saigon and the onto Melbourne. To begin, it took the flight attendant over an hour to check in 4 pieces of underweight luggage. We then made it clear to her that due to my child’s illness which is triggered and exacerbated by sleep deprivation (leading to seizures), that it was necessary to sit somewhere quieter. We were guaranteed seats near the front of the plane, with one of them being a window seat.<br><br>Not only did the attendant get the plane the plane configuration wrong, she also told us we could change our seating when arriving in Saigon. Our flight was then delayed nearly two hours at Da Nang, leading to us nearly missing our connecting flight to Melbourne. We were then told that due to the delay the airline would help us through customs and onto the next plane. Once arriving in Saigon we were provided with no information and dropped at customs with no insight as to were to go or what gate we are supposed to be at.<br><br>Our flight out of Saigon to Melbourne was delayed. Once we reached the gate we tried to confirm our seats at the gate and we were immediately shut down and told that we were wrong and needed to confirm our seats in Da Nang even though we were told the opposite.<br><br>Once on the plane we realised our seats where at the very back of the plane next to the toilets. We then proceeded to talk to the staff, with the sole purpose of only trying to get my child moved so she could sleep, so here illness wouldn't be exacerbated. We were treated with hostility and provided with no solution.<br><br>We were told that there was nothing they could do except get a representative to meet us in Melbourne when we landed. Once again the airline disappointed we were met with no representative and nothing was resolved.<br><br>Suffice to say for the price payed I’m extremely disappointed and don’t recommend this airline to any prospective customers. Further I would seriously recommend to the airline that many systematic issues are present and needed immediate attention."
43,Anh,1,"This airline business is a joke. I wanted to book for my pets reservations for the long haul. I literally tried every single way to be in contact with them, but all left with disappointed. It's impossible to reach to their customer service, all they said was just repeated messages, which kept saying ""please contact to our service for the special service"". This would be the last time I had ever been to this brand."
44,Riza A,5,"I was throughly impressed by the Vietnam Airlines crew. I had a tight window between my flight from Hue to HCM and my flight to KL (with a different airline). The crew in Hue and HCM went above and beyond to make sure I can still make my flight, despite the delay due to bad weather. At multiple points, they assigned ground staffs to help me get to the international departure terminal, they even helped get my boarding passes for my continuing flights. They also assigned front seat with super wide legroom so I can exit the plane early. Overall, amazing service and hospitality!"
44,Rich E,1,"booked 2 seats on this flight, was charged for 4! customer service completely uncontactable! They just stole my money! spent so much time and money on the phone with no one answering."
44,Elena,3,"My family/relatives went on a trip from HCMC to Phu Quoc for a fun vacay trip. Tickets were all booked, all payed and confirmed. These 2 ppl wanted to purchase tickets after us though the aircraft was fully booked, shockingly the tickets that were sold to us and our seats were given to them, just because they are known to the aircraft employee two of my family members have to move to another aircraft. Not only that, service were poor and non-existence, our flight was only a little over 30 mins, therefore no food wasn’t that big of a deal, though drinks aren’t even serves unless you asked. Absolutely Horrific and sickening."
44,Elena,3,"My family/relatives went on a trip from HCMC to Phu Quoc for a fun vacay trip. Tickets were all booked, all payed and confirmed. These 2 ppl who wanted to purchase tickets after us but the aircraft was fully booked, and shockingly the tickets that were sold to us and our seats were then given to them, just because they are known to the aircraft employee. Absolutely horrific."
44,Anders P P,4,"Flew on A321 SGN-HUE on 23 June 2022. Check-in took 2 Minutes. As Sky Priority, I was given fast track, VIP bus, and excess luggage, but denied lounge access as a gold card on Skyteam is insufficient apart from VN-airlines own FFP (Lotus). 15 Minutes delays on a busy afternoon is not bad. Onboard, no IFE, only a paper towel and water is served. Clean aircraft. Good flight announcements. Beautiful rainbow scenery on the way to Hue. Bus-gatings are anti-climax on an otherwise fine trip. In Hue, one is not even allowed to walk 40 meters from aircraft to arrivals, what a waste of bus-resources and people’s time. Luggage delivered perfectly. The 65 USD paid is worth it."
45,Charleston Volo,5,"The flight from Ho chi minh to Tuy Hoa was very comfortable. Costumer service are very good and was helpful with the baggage information before departure. Much baggage included with the air ticket. Great crew onboard as well, will recommend to fly with Vietnam Airlines."
45,john m,5,"We flew in Premium Economy, the service was just amazing <br>seats were very comfy, and food was nice. Boeing 787/9 was the plane <br>we flew in  Feb 2020 so ignore below"
45,Chloe F,1,"Extremely disappointing. Was only notified of the departure timing change (1 hour delay) at the airport.<br><br>The very reason we decided to pay a premium price for Vietnam airlines over vietjet was to avoid flight delays.<br><br>Furthermore, when enquiring the airline staffs, the delay was simply repeated in a matter of fact way. The staff also claim that emails have been sent to us. We showed them our emails to proof that no emails have been received. And afterwards, they just again repeated “the flight is now 3pm”.<br><br>Horrible flight planning, horrible customer service. Take with caution."
45,Darina O,5,"Excellent customer service, we were able to change our flights to later in the day with no charges and no hassle. Couldn't do it online so the airline organised it over email. All smooth and on time, can't recommend enough."
45,Darina O,5,"Excellent airline, comfortable and spacious seats in economy, with in-flight entertainment and refreshments even on a very short flight. Check in and flight staff were all lovely. Very enjoyable journey, would certainly travel with them again."
46,Ngo,1,"They changed our flights, messed up the flight schedule and they didn't response to our emails until we had to call their hotline (several times). Finally, we ended up paying 100 eu more as we called them from abroad <br>It was such a waste of money."
46,Michael Margolin Travel Associates Coy,3,Delayed 2 hours for a 1 hour flight ..... apparently the norm for VN to consolidate pax to fill planes.
46,whiteswordfish,1,"My luggage has been stolen by the people who works for this airline. I’ve been following up with receipt of my check-in luggage for 3 weeks but they can’t find it and they don’t care to find it. My luggage doesn’t have any expensive items, just regular stuffs (clothes, shoes). People who work here are so separate. The management sucks. This is the only airline that flys directly to Vietnam, so they can do whatever they want, including stealing.<br>Avoid at all cost. Not worth your headache and money."
46,Elizabeth Q,4,"This was my first experience of Vietnam Airlines for 2.5 years. They are still not fully back to normal, especially with only one flight a week between the UK and Hanoi, they really need to resume their regular schedule. The flight left from Terminal 2 instead of the usual 4 and the Business Lounge was comfortable and well stocked .The flight was late leaving as they were waiting for connecting flights. Drinks were served before take off including a sparkling wine which I doubt was champagne. There was no food menu &amp; I was asked to choose between chicken &amp; potato or beef &amp; potato - neither of which sounded particularly appetizing! I chose beef &amp; when it came it was fillet steak with vegetables &amp; was delicious. They need to improve their marketing skills! The wine was absolutely first class too &amp; I enjoyed several glasses. Food was offered frequently throughout the flight. The cabin wasn't even half full and the flight was peaceful and comfortable."
46,moont46,1,"they cancelled our flights like 2 weeks before departure due to ""operational reasons"". sent an email that said that ticket is no longer valid and refund will be given but when i emailed them at least 10x and they dont give a valid answer about the refund. Called their hotline +84 24 38320320 at least 10x and no one actually picks up the call no matter what time i call! now i dont know which flight i can book and whether i can get a refund from vietnam airlines if i book with another airline. <br><br>advice: buy the tickets and pray that there is not flight cancellation/changes. because they are a non-refundable and non contactable airline!!!"
47,Han L,1,"My brother who was stuck in Canada for almost 2.5 years was finally flying home to Viet Nam to see my parents a month ago. He had an overnight layover in South Korea. The next morning when he went to board the plane to Viet Nam, he got rejected because they said his PRC test wasn’t valid anymore. He was stuck here with very little help as the staff at the airport wasn’t sure what to do. We were told he would have to fly back to Canada (nightmare #1), then we would need to contact the Vietnamese Embassy (nightmare #2). When we finally got a hold of the Vietnamese Embassy, they said they wouldn’t be able to do anything, we would have to contact Vietnam Airlines in Viet Nam (nightmare #3). My dad was literally bawling his eyes out to them but they just said there was nothing they could do. Wait, have I mentioned my brother is 17 years old!!!!! He was stuck there for 3 days without the help of Vietnam Airlines which was a huge disappointment, considering he is underage as well. We finally managed to get him another PCR test which was outside of the airport (you would need a visa to get out of the airport - nightmare #4) with a letter from the Vietnamese Embassy and some really kind kind staff there. He also ran out of cash and had no credit cards lol (nightmare #5). <br><br>Anyways, I am honestly very very disasppointed in how Vietnam Airlines had dealt with our situation. My parents are livid. I mean, he is 17!!! I do understand there are rules and protocols you have to follow but the least you could do is OFFER ASSISTANCE. Not just say there is nothing we can do to help. Aren’t you supposed to be helping Vietnamese people, especially kids, get home during this strange time?"
47,Zoë S,1,Wasted hours on the phone trying to get a refund I was promised. Awful airline. My advice if theres an issue with your flight - give up on your money!
47,Steve L,1,"need to ask information about traveling on visitor visa and if the airline require 2way ticket or not. The operator not only denied to have any information about that but also show incorporate attitude and totally deny to help attitude. If you dont want to help, please quit the job as help-desk position, please consider changing your position and not wasting people time!"
47,Sertx28,1,I have been asking for a refund for months a year after my flight was cancelled due to Covid.<br>They have a million excuses not to give refunds. <br>They just keep your money. <br>AVOID!!!
47,Tokuo Fukuichi,5,Such an excellent airline! Definitely recommend it! Would love to fly with Vietnam Airlines again! ❤️🇻🇳
48,Allen T,5,Service was excellent.  food was above average.  Make sure you have your paperwork ready at check in or it will be a disaster.  Biz Class.  4.5 hour flight.  Seats were comfortable.
48,Rebecca,1,"Please please please do not travel with Vietnam Airline ever! This is the worst airline I've ever seen. I didn't get any notice of cancellation until I checked with them. And they promised to refund immediately, after 3 weeks they said they need two more months to refund. Why did they keep lied to me before? Every time I called them I got a reply ""We are processing your refund today"".  But nothing happened at all. I really need to money back right now but I can do nothing. I'm pretty sure they just wanna hold your money to pay their bills. Trash Airline. Shame on it."
48,Mi B,1,"terrible, sorry airlines. if you dont care about money this is the airlines for you since you can just give them your wallet."
48,Mi B,1,"It was swift and easy when they take your money but post-purchase service is horrible, terrible, they would test your patience to the max. they changed my flight schedule - which was fine,and as I chose for refund in voucher form, this is where the issue began. it has been taking me27  days (and still counting)  and countless phone calls and emails, we are talking 2 digits here.. for them to finally refund the booking in voucher form PART BY PART, so it took me 10+ emails and calls to get a refund for 1 passenger, and then another round of equal efforts for another passenger, until this point it has been 1 month and they still have not refunded me completely yet. ""Online support Dept"" seems to have a tiny team of 1-2 persons or they are just not in the mood for working. Your emails will confirm go to the universe's black hole. Speechless, waste of my time. never again."
48,Dao P,1,"It was my first time booking this brand flight ticket for my journey to Phu Quoc island via the Traveloka site. <br>I did pay the returned tickets with discounted prices of 1,300,000 VND like the advertisements on 15/4/2021 with the expected schedule as follows:<br>+ 6/5/2021 depart at 6:10 AM from HCM city to Phu Quoc<br>+ 8/5/2021 depart at 19:30 PM from PQ to HCM city<br><br>I booked all accommodations and related tours in this period already after done the fights. Then they changed the fights schedule by themselves without any customers awareness:<br><br>- 30/4/2021: on this night holiday they sent message by Traveloka to change time as follows:<br>    +  6/5/2021 depart at 06:55 AM : I had to think about rush hour once I arrived as I booked one tour which bus would pick us at 9AM but it may be acceptable<br>    +  8/5/2021 depart at 16:20 PM: I couldn't accept this time as I booked the tour which ended at 6PM, it took 15 mins to get to the airport as well. So I sent a message to Traveloka to change the time as I couldn't make it then they accepted to ask Vietnam Airlines to change the flight for me to depart at 21:40 PM<br><br>- 5/5/2021: things were thought ok but they kept sending me the message to change flights again:<br>    +  6/5/2021 depart at 09:15 AM: I was so upset this time that I couldn't make my first tour and had to call the agent to move the tour to the next day as obviously VA Airlines couldn't accept to change to other sooner flight. Fortunately, I left one vacant day on 7/5 then I asked them to move the 6/5 tour to 7/5 and they accepted.<br>    +  8/5/2021 still depart at 21:40 PM: I still hope no change for this final flight. But NO<br><br>- 7/5/2021: while I was on vacation at the hotel and in the middle of the night Traveloka sent a message at 1:27 AM to say it changed the final flight:<br>    +  8/5/2021 still depart at 17:25 PM: I was really furious as I absolutely couldn't make it with the last tour ended at 6 PM. I sent Traveloka a message to refund me or change the schedule but they did not reply to me and told me it was Vietnam Airlines' decision to change customer flights every time with different plane codes. I did try to call the support line of this fight but they ended up with no one to pick the phone call after several minutes to wait for leading instructions. My journey was shattered by depression of how to get back to Ho Chi Minh city my home. <br>They literally did not send a reply besides saying sorry with no help from Traveloka and VN Airlines. They kept answering me that the different time was less than 4 hours (they defined themselves with no advanced agreement) then they refused to refund me this flight<br><br>- 8/5/2021: in the middle of night 00:12 I received Traveloka message to change the flight <br>     +  8/5/2021 depart at 09:15 AM: I absolutely lost my returned ticket. And I found out it was over 4 hours difference so I decided to send Traveloka message to tell me them to refund me but they called me in the morning and said as a certain truth that their system only recorded the flight changed to 17:25 PM (WTF!!???) though I had sent them message and email sent by them. So far they have been sent no reply to my refunding command<br><br>I urge all of you reading this review that you SHOULD NOT BOOK their flights as they have NO SUPPORT with fake hot lines to pick pocket your phone charges. <br>That is how I robbed my money ticket  (650,000VND) and until now they did not reply to refund me the last flight."
49,clear.simple98@gmail.com,1,"I bought ticket departure may 2020, from budget air.com The flight canceled by airlines, the agent told me to wait be patient, they are working hard to get refund because the flight is canceled. After waiting for a year with the same answer. They emailed me that the airlines refused to refund, the only solution reroute. <br><br>This is how vietnanese doing business, scammer. <br>How we are going to reroute if there is restricrion for foreigner to visit the country? <br><br>I asked for travel voucher, still no answer!!! <br><br>Better don't booked with budget air. Com and Vietnam airlines"
49,Xuan Viet Ho,1,"The flight was delayed for more than three hours, they even let passengers on board, prepare everything then suddenly told that the flight was delayed half an hour for technical issues. Then we waited more than an hour in the plane then they told we have to change the plane. Garbage airline and a shame for a national airlines.<br>And the staff were helpless."
49,e S,1,"My orginally flight was at 2 pm and they changed to 3:15 pm.They made me sit in the airplane for a hour then asked everybody to leave for another flight due to technical issue without an official apology. Honestly they are getting worse and worse while their tickets are higher than Vietjet. To avoid the pains, dont fly with the shty VietNam airline."
49,hoeferma10,1,"We are still waiting for the refund of the flight from Frankfurt to Hanoi , which could not be occured of „COVID 19“ We tried to geht in contact with Vietnam Airlines, but nothing happened !!! We are so disappointed, because it was a lot of money for us.<br>After several telefon calls from a friend of us in Hanoi, they promissed us to send the money back within 30 days but we are still waiting.<br>It is such a shame !!!<br>We wrote many @mails to Vietnam Airlines, but always „return to Sender“"
49,Duy Vu,1,"They wouldn't refund my flight even tho there is a resurgence of covid in saigon. Typical Vietnamese scammers. Vietnam easily has the worst customer service of all countries I've been to. It's practically nonexistent here.  Always think twice before buying anything here. Once they have your money, they dgaf."
50,Fanny Birner,1,"We tried to cancel our flights due to the recent COVID outbreak, and we extra booked the refundable tickets. Vietnam airline did not even pick up their “24/7” service center. We called more than dozens of times each day, and all lines are busy; and we sent refund applications multiple times also got no answer. We went to the office just to get sent to another address. Finally, we passed the day we were supposed to fly. We are so pissed!!! What a scam!!!! Please rethink booking from them, because you never know if you have to cancel your flight. Dealing with them is such a waste of time and guarantees you won’t get your money back. Never again we even think to fly with this airline!!!"
50,Jaime Gómez,1,We have been cheated by this Airline. Our flights were cancelled last match and since then WE have tried to get our money back. They just mail you with the message everything IS Ok and money has been transferred but its totally false. Please beware Vietnam Airlines.
50,Terrie,1,"Please be careful with these airlines. Basically I bought my flight tickets from Vietnam airlines but I ended up getting Pacific airlines ticket (Vietnam airlines bought Jetstar and changed their name to Pacific). They decided to cancel my flight last minute without informing me. They didn't want to help me to sort out my ticket so they made me run back and ford four times from lobby B (Vietnam airlines) to lobby E (Pacific airlines) for about two hours. <br>The staffs were super rude and didn't wear any masks. You can see in the photo down below (three of them didn't wear any mask). Even the baby in the photo could wear a mask but these adults here spreading out virus to the passengers and our community!<br>They canceled my ticket without informing me and made me pay extra 3,632,000 VND ($160) more for a new one way ticket from Hanoi to Saigon. This is super ridiculous. You canceled my ticket; You didn't want to refund me any money; Then you made me pay 3,632,000 VND even I had already paid for my other ticket. So I ended up paying about 5,000,000 VND for a ticket that includes three of your staffs didn't wear any mask spitting saliva on my face?<br>When I said I want to talk to the manager of the airline directly they tried to stop me. Why? What are you scared of? Shouldn't call yourself 4 stars airlines when you can't inform the customer that you cancel their tickets/ no refund/ no new tickets/ ridiculous rip off extra fee. <br>#antipacificairlines<br>#vietnamairlines<br>#taychayvietnamairlines<br> #antivietnamairlines #pacificairlinescoronavirus #vietnamairlinescoronavirus"
50,Rob Mundy,1,I was due to travel from the UK to Cambodia with Vietnam Airlines in November. Due the the Covid 19 situation our flights were cancelled in Mid October. I have tried on many occasions to request and receive a refund for Travel that was not supplied. All I ever get is the same automated email. I have even filled in the refund request form on the website. Guess what? No reply. And now my booking number isn't even recognised on the website either. If I need to talk to anybody I have to call Vietnam from the UK. Even though they have an office based in London. They tell me I have tondwal with them in Vietnam because I booked tickets online through th website.  Shocking as it's cost £3 per minute to call them. Worst customer service I have ever had to deal with. All the other companies I have dealt with due to Covid  travel issues have sorted out refunds with 7 days!! They obviously don't care about the customers who have parted with their hard earned cash.. I will never use this company again. AVOID LIKE THE PLAGUE..OR COVID!
50,Roger M,1,Still waiting for refund for cancellation of flight on 25th March due to covid  Airline  cancelled all flights to Uk on 23rd March without any prior warning or correspondence.We has to get flight via Emirates on 22ndto get out of Vietnam before borders closed.They offered taxes  back as they said we were no shows for flights.Flights that weren’t happening.Pleasedo the right thing and refund fares.
51,Guillaume D,1,"Dishonest company into the current context, trying to find any way not to reimburse the tickets. Totally unacceptable and revealing a company mindset that should push anybody to switch to other at least as much efficient (and much cheaper) companies in Vietnam: from Bamboo to VietJet."
51,Sia F,1,If I can give a 0 I will give a 0 100%. Don't Book anything from them EVER! All their service numbers are scams! there is no working service number and I still have not received my refund from July!! I have been waiting for almost 5 month. The flight was canceled right after I made the refund request. I dont see a reason that why the money went into a flight that never takes off can be taking that long to be returned.
